TS Part
Sequence                                                        , QP, kbps      , Ypsnr  , Upsnr  , Vpsnr  , EncTime
indoor_54db_wdroff_NR40_8fps_8M_1920x1088_1397frames            , 49, 1211.1467 , 27.8060, 38.7723, 40.8334, 90.625
red_car2_1920x1088                                              , 37, 14353.4133, 31.9867, 41.5044, 43.7516, 109.094
red_car2_1920x1088                                              , 41, 8619.0133 , 29.3191, 40.7022, 42.9469, 106.125
red_car2_1920x1088                                              , 45, 4914.0000 , 26.9471, 39.3008, 41.7065, 113.625
red_car2_1920x1088                                              , 49, 2651.0000 , 24.7777, 38.0076, 39.9091, 102.625
5_outdoor_day_rain_cross_1920x1088                              , 37, 13127.3200, 32.2582, 40.8235, 42.7663, 113.375
5_outdoor_day_rain_cross_1920x1088                              , 41, 8055.0533 , 29.7238, 40.0063, 42.0336, 108.266
5_outdoor_day_rain_cross_1920x1088                              , 45, 4733.8400 , 27.3630, 38.8055, 40.9434, 103.328
5_outdoor_day_rain_cross_1920x1088                              , 49, 2638.5867 , 25.1944, 37.2935, 39.6583, 101.422
indoor_54db_wdroff_NR45_8fps_8M_1920x1088                       , 37, 5802.2267 , 32.3078, 41.8618, 44.4994, 104.500
indoor_54db_wdroff_NR45_8fps_8M_1920x1088                       , 41, 3235.3600 , 31.1263, 41.3012, 43.7677, 97.312
indoor_54db_wdroff_NR45_8fps_8M_1920x1088                       , 45, 1982.1733 , 29.8123, 40.2959, 42.6345, 95.672
indoor_54db_wdroff_NR45_8fps_8M_1920x1088                       , 49, 1192.4400 , 28.2660, 38.7112, 40.8408, 93.938
6_outdoor_day_road_fewcars_1920x1088                            , 37, 10363.4533, 32.4000, 41.8220, 44.0438, 103.219
6_outdoor_day_road_fewcars_1920x1088                            , 41, 6206.1733 , 30.1335, 40.9123, 43.3722, 98.828
6_outdoor_day_road_fewcars_1920x1088                            , 45, 3584.8933 , 27.9061, 39.4902, 42.0940, 94.641
6_outdoor_day_road_fewcars_1920x1088                            , 49, 1930.3467 , 25.7734, 37.9876, 40.2369, 102.328
outdoor_day02_1920x1088                                         , 37, 31785.8933, 28.9508, 41.0073, 43.4397, 117.922
outdoor_day02_1920x1088                                         , 41, 17974.9467, 25.9309, 40.1901, 42.9559, 107.828
outdoor_day02_1920x1088                                         , 45, 8950.5200 , 23.4107, 38.7064, 41.7236, 100.922
outdoor_day02_1920x1088                                         , 49, 3753.5867 , 21.4076, 37.0006, 40.0434, 93.531
