HM Part
Sequence, QP, kbps, Ypsnr, Upsnr, Vpsnr, EncTime
PartyScene,27,4062.0375,34.4579,38.9003,39.4381,271.156
PartyScene,32,1962.5125,31.0690,36.8020,37.1913,188.188
PartyScene,37,946.3750,28.1320,35.2025,35.2924,113.562
RaceHorsesC,22,4548.6450,38.6748,41.2354,42.3786,559.125
RaceHorsesC,27,1984.6725,35.4791,38.9751,40.1345,351.594
RaceHorsesC,32,939.0300,32.4892,37.0536,38.2593,231.438
RaceHorsesC,37,448.2000,29.6881,35.6792,36.6144,144.188
BasketballPass,22,665.8375,42.2701,45.7671,45.1743,49.562
BasketballPass,27,333.7375,38.4642,43.1014,42.1427,31.766
BasketballPass,32,170.5375,35.1129,40.7141,39.5629,20.641
BasketballPass,37,93.6625,32.3893,38.8376,37.4823,13.484
BlowingBubbles,22,1439.3000,38.4353,41.5710,43.6399,97.703
BlowingBubbles,27,645.1500,35.1015,38.9953,40.9546,62.141
BlowingBubbles,32,307.9625,32.1536,36.8645,38.7599,38.109
BlowingBubbles,37,152.6875,29.6616,35.1005,36.8678,22.297
BQSquare,22,1305.7200,39.0598,44.8797,45.8520,52.359
BQSquare,27,596.9250,35.4840,42.6530,43.4243,30.922
BQSquare,32,303.6000,32.2274,40.7191,41.3616,19.453
BQSquare,37,175.9800,29.5685,38.8160,39.3532,12.719
RaceHorses,22,1188.4650,39.1486,41.4101,41.9140,129.703
RaceHorses,27,576.4275,35.1301,38.7817,38.9830,87.500
RaceHorses,32,281.6025,31.6531,36.5851,36.5855,58.094
RaceHorses,37,142.5450,28.8531,34.9692,34.9158,35.156
FourPeople,22,2020.8300,43.3372,48.0206,49.4760,182.016
FourPeople,27,1034.5200,41.7707,46.4643,47.7650,100.781
FourPeople,32,605.4300,39.5952,44.8619,45.9705,65.125
FourPeople,37,362.7900,36.9791,42.4417,43.7403,46.547
Johnny,22,1606.9350,43.1594,49.1073,49.8514,183.797
Johnny,27,651.6600,41.9272,47.8425,48.5038,87.234
Johnny,32,349.3650,40.3729,46.3985,46.7696,51.125
Johnny,37,199.8900,38.3918,44.1528,44.6841,34.531
KristenAndSara,22,1747.9200,43.6487,48.5618,49.5000,190.234
KristenAndSara,27,817.9650,42.1168,47.0859,48.0645,101.250
KristenAndSara,32,444.9900,40.1380,45.4964,46.3494,62.656
KristenAndSara,37,258.4500,37.9091,43.2356,44.2286,41.016
BasketballDrillText,22,2572.7625,41.7117,44.2987,45.1414,250.844
BasketballDrillText,27,1224.1875,38.6026,41.7569,42.2763,157.719
BasketballDrillText,32,619.7375,35.6920,39.6129,39.9550,100.359
BasketballDrillText,37,327.5500,33.0217,37.5735,37.6161,62.219
ChinaSpeed,22,4231.0875,43.2247,46.2867,46.2306,523.719
ChinaSpeed,27,2192.6925,39.0459,43.6040,43.1088,345.344
ChinaSpeed,32,1176.0450,35.3858,41.4083,40.5779,222.453
ChinaSpeed,37,597.3300,31.9421,39.3763,37.9762,143.125
SlideEditing,22,944.4825,50.1560,48.2310,48.5743,163.672
SlideEditing,27,683.2650,45.7135,44.3924,44.8502,144.250
SlideEditing,32,514.5450,41.1180,42.3004,42.5360,122.797
SlideEditing,37,380.8275,36.2895,38.3021,39.3387,106.547
SlideShow,22,467.2450,50.7579,53.3679,54.5261,193.234
SlideShow,27,269.2700,46.8245,50.4533,50.9402,128.609
SlideShow,32,184.4350,43.4668,46.9052,49.5435,95.172
SlideShow,37,131.0450,39.7703,45.4548,47.2096,71.641
VVenC medium Part
Sequence, QP, kbps, Ypsnr, Upsnr, Vpsnr, EncTime
BasketballDrill,22,2772.4750,41.4961,44.1286,44.8824,86.578
BasketballDrill,27,1294.4375,38.4062,41.7668,42.0456,54.859
BasketballDrill,32,637.4250,35.4786,39.7095,39.7733,35.812
BasketballDrill,37,330.9625,32.9050,37.8961,37.7054,24.328
